Date,Headline,Negative,Neutral,Positive
2024-05-14,No article,0.0,1.0,0.0
2024-05-15,No article,0.0,1.0,0.0
2024-05-16,No article,0.0,1.0,0.0
2024-05-17,No article,0.0,1.0,0.0
2024-05-18,No article,0.0,1.0,0.0
2024-05-19,No article,0.0,1.0,0.0
2024-05-20,No article,0.0,1.0,0.0
2024-05-21,No article,0.0,1.0,0.0
2024-05-22,No article,0.0,1.0,0.0
2024-05-23,No article,0.0,1.0,0.0
2024-05-24,No article,0.0,1.0,0.0
2024-05-25,No article,0.0,1.0,0.0
2024-05-26,No article,0.0,1.0,0.0
2024-05-27,No article,0.0,1.0,0.0
2024-05-28,No article,0.0,1.0,0.0
2024-05-29,No article,0.0,1.0,0.0
2024-05-30,No article,0.0,1.0,0.0
2024-05-31,No article,0.0,1.0,0.0
2024-06-01,No article,0.0,1.0,0.0
2024-06-02,No article,0.0,1.0,0.0
2024-06-03,No article,0.0,1.0,0.0
2024-06-04,No article,0.0,1.0,0.0
2024-06-05,No article,0.0,1.0,0.0
2024-06-06,No article,0.0,1.0,0.0
2024-06-07,No article,0.0,1.0,0.0
2024-06-08,No article,0.0,1.0,0.0
2024-06-09,No article,0.0,1.0,0.0
2024-06-10,No article,0.0,1.0,0.0
2024-06-11,No article,0.0,1.0,0.0
2024-06-12,No article,0.0,1.0,0.0
2024-06-13,No article,0.0,1.0,0.0
2024-06-14,No article,0.0,1.0,0.0
2024-06-15,No article,0.0,1.0,0.0
2024-06-16,No article,0.0,1.0,0.0
2024-06-17,No article,0.0,1.0,0.0
2024-06-18,No article,0.0,1.0,0.0
2024-06-19,No article,0.0,1.0,0.0
2024-06-20,No article,0.0,1.0,0.0
2024-06-21,No article,0.0,1.0,0.0
2024-06-22,No article,0.0,1.0,0.0
2024-06-23,No article,0.0,1.0,0.0
2024-06-24,No article,0.0,1.0,0.0
2024-06-25,No article,0.0,1.0,0.0
2024-06-26,No article,0.0,1.0,0.0
2024-06-27,No article,0.0,1.0,0.0
2024-06-28,No article,0.0,1.0,0.0
2024-06-29,No article,0.0,1.0,0.0
2024-06-30,No article,0.0,1.0,0.0
2024-07-01,No article,0.0,1.0,0.0
2024-07-02,No article,0.0,1.0,0.0
2024-07-03,No article,0.0,1.0,0.0
2024-07-04,No article,0.0,1.0,0.0
2024-07-05,No article,0.0,1.0,0.0
2024-07-06,No article,0.0,1.0,0.0
2024-07-07,No article,0.0,1.0,0.0
2024-07-08,No article,0.0,1.0,0.0
2024-07-09,No article,0.0,1.0,0.0
2024-07-10,No article,0.0,1.0,0.0
2024-07-11,No article,0.0,1.0,0.0
2024-07-12,No article,0.0,1.0,0.0
2024-07-13,No article,0.0,1.0,0.0
2024-07-14,No article,0.0,1.0,0.0
2024-07-15,No article,0.0,1.0,0.0
2024-07-16,No article,0.0,1.0,0.0
2024-07-17,No article,0.0,1.0,0.0
2024-07-18,No article,0.0,1.0,0.0
2024-07-19,No article,0.0,1.0,0.0
2024-07-20,No article,0.0,1.0,0.0
2024-07-21,No article,0.0,1.0,0.0
2024-07-22,No article,0.0,1.0,0.0
2024-07-23,No article,0.0,1.0,0.0
2024-07-24,No article,0.0,1.0,0.0
2024-07-25,No article,0.0,1.0,0.0
2024-07-26,No article,0.0,1.0,0.0
2024-07-27,No article,0.0,1.0,0.0
2024-07-28,No article,0.0,1.0,0.0
2024-07-29,No article,0.0,1.0,0.0
2024-07-30,No article,0.0,1.0,0.0
2024-07-31,No article,0.0,1.0,0.0
2024-08-01,No article,0.0,1.0,0.0
2024-08-02,No article,0.0,1.0,0.0
2024-08-03,No article,0.0,1.0,0.0
2024-08-04,No article,0.0,1.0,0.0
2024-08-05,No article,0.0,1.0,0.0
2024-08-06,No article,0.0,1.0,0.0
2024-08-07,No article,0.0,1.0,0.0
2024-08-08,No article,0.0,1.0,0.0
2024-08-09,No article,0.0,1.0,0.0
2024-08-10,No article,0.0,1.0,0.0
2024-08-11,No article,0.0,1.0,0.0
2024-08-12,No article,0.0,1.0,0.0
2024-08-13,No article,0.0,1.0,0.0
2024-08-14,No article,0.0,1.0,0.0
2024-08-15,No article,0.0,1.0,0.0
2024-08-16,No article,0.0,1.0,0.0
2024-08-17,No article,0.0,1.0,0.0
2024-08-18,No article,0.0,1.0,0.0
2024-08-19,No article,0.0,1.0,0.0
2024-08-20,No article,0.0,1.0,0.0
2024-08-21,No article,0.0,1.0,0.0
2024-08-22,No article,0.0,1.0,0.0
2024-08-23,No article,0.0,1.0,0.0
2024-08-24,No article,0.0,1.0,0.0
2024-08-25,No article,0.0,1.0,0.0
2024-08-26,No article,0.0,1.0,0.0
2024-08-27,No article,0.0,1.0,0.0
2024-08-28,No article,0.0,1.0,0.0
2024-08-29,No article,0.0,1.0,0.0
2024-08-30,No article,0.0,1.0,0.0
2024-08-31,No article,0.0,1.0,0.0
2024-09-01,No article,0.0,1.0,0.0
2024-09-02,No article,0.0,1.0,0.0
2024-09-03,No article,0.0,1.0,0.0
2024-09-04,No article,0.0,1.0,0.0
2024-09-05,No article,0.0,1.0,0.0
2024-09-06,No article,0.0,1.0,0.0
2024-09-07,No article,0.0,1.0,0.0
2024-09-08,No article,0.0,1.0,0.0
2024-09-09,No article,0.0,1.0,0.0
2024-09-10,No article,0.0,1.0,0.0
2024-09-11,No article,0.0,1.0,0.0
2024-09-12,No article,0.0,1.0,0.0
2024-09-13,No article,0.0,1.0,0.0
2024-09-14,No article,0.0,1.0,0.0
2024-09-15,No article,0.0,1.0,0.0
2024-09-16,No article,0.0,1.0,0.0
2024-09-17,No article,0.0,1.0,0.0
2024-09-18,No article,0.0,1.0,0.0
2024-09-19,No article,0.0,1.0,0.0
2024-09-20,No article,0.0,1.0,0.0
2024-09-21,No article,0.0,1.0,0.0
2024-09-22,No article,0.0,1.0,0.0
2024-09-23,No article,0.0,1.0,0.0
2024-09-24,No article,0.0,1.0,0.0
2024-09-25,No article,0.0,1.0,0.0
2024-09-26,No article,0.0,1.0,0.0
2024-09-27,No article,0.0,1.0,0.0
2024-09-28,No article,0.0,1.0,0.0
2024-09-29,No article,0.0,1.0,0.0
2024-09-30,No article,0.0,1.0,0.0
2024-10-01,No article,0.0,1.0,0.0
2024-10-02,No article,0.0,1.0,0.0
2024-10-03,No article,0.0,1.0,0.0
2024-10-04,No article,0.0,1.0,0.0
2024-10-05,No article,0.0,1.0,0.0
2024-10-06,No article,0.0,1.0,0.0
2024-10-07,No article,0.0,1.0,0.0
2024-10-08,No article,0.0,1.0,0.0
2024-10-09,No article,0.0,1.0,0.0
2024-10-10,No article,0.0,1.0,0.0
2024-10-11,No article,0.0,1.0,0.0
2024-10-12,No article,0.0,1.0,0.0
2024-10-13,No article,0.0,1.0,0.0
2024-10-14,No article,0.0,1.0,0.0
2024-10-15,No article,0.0,1.0,0.0
2024-10-16,No article,0.0,1.0,0.0
2024-10-17,No article,0.0,1.0,0.0
2024-10-18,No article,0.0,1.0,0.0
2024-10-19,No article,0.0,1.0,0.0
2024-10-20,No article,0.0,1.0,0.0
2024-10-21,No article,0.0,1.0,0.0
2024-10-22,No article,0.0,1.0,0.0
2024-10-23,No article,0.0,1.0,0.0
2024-10-24,No article,0.0,1.0,0.0
2024-10-25,No article,0.0,1.0,0.0
2024-10-26,No article,0.0,1.0,0.0
2024-10-27,No article,0.0,1.0,0.0
2024-10-28,No article,0.0,1.0,0.0
2024-10-29,No article,0.0,1.0,0.0
2024-10-30,No article,0.0,1.0,0.0
2024-10-31,No article,0.0,1.0,0.0
2024-11-01,No article,0.0,1.0,0.0
2024-11-02,No article,0.0,1.0,0.0
2024-11-03,No article,0.0,1.0,0.0
2024-11-04,No article,0.0,1.0,0.0
2024-11-05,No article,0.0,1.0,0.0
2024-11-06,No article,0.0,1.0,0.0
2024-11-07,No article,0.0,1.0,0.0
2024-11-08,No article,0.0,1.0,0.0
2024-11-09,No article,0.0,1.0,0.0
2024-11-10,No article,0.0,1.0,0.0
2024-11-11,No article,0.0,1.0,0.0
2024-11-12,No article,0.0,1.0,0.0
2024-11-13,No article,0.0,1.0,0.0
2024-11-14,No article,0.0,1.0,0.0
2024-11-15,No article,0.0,1.0,0.0
2024-11-16,No article,0.0,1.0,0.0
2024-11-17,No article,0.0,1.0,0.0
2024-11-18,No article,0.0,1.0,0.0
2024-11-19,No article,0.0,1.0,0.0
2024-11-20,No article,0.0,1.0,0.0
2024-11-21,No article,0.0,1.0,0.0
2024-11-22,No article,0.0,1.0,0.0
2024-11-23,No article,0.0,1.0,0.0
2024-11-24,No article,0.0,1.0,0.0
2024-11-25,No article,0.0,1.0,0.0
2024-11-26,No article,0.0,1.0,0.0
2024-11-27,No article,0.0,1.0,0.0
2024-11-28,No article,0.0,1.0,0.0
2024-11-29,No article,0.0,1.0,0.0
2024-11-30,No article,0.0,1.0,0.0
2024-12-01,No article,0.0,1.0,0.0
2024-12-02,No article,0.0,1.0,0.0
2024-12-03,No article,0.0,1.0,0.0
2024-12-04,No article,0.0,1.0,0.0
2024-12-05,No article,0.0,1.0,0.0
2024-12-06,No article,0.0,1.0,0.0
2024-12-07,No article,0.0,1.0,0.0
2024-12-08,No article,0.0,1.0,0.0
2024-12-09,No article,0.0,1.0,0.0
2024-12-10,No article,0.0,1.0,0.0
2024-12-11,No article,0.0,1.0,0.0
2024-12-12,No article,0.0,1.0,0.0
2024-12-13,No article,0.0,1.0,0.0
2024-12-14,No article,0.0,1.0,0.0
2024-12-15,No article,0.0,1.0,0.0
2024-12-16,No article,0.0,1.0,0.0
2024-12-17,No article,0.0,1.0,0.0
2024-12-18,No article,0.0,1.0,0.0
2024-12-19,No article,0.0,1.0,0.0
2024-12-20,No article,0.0,1.0,0.0
2024-12-21,No article,0.0,1.0,0.0
2024-12-22,No article,0.0,1.0,0.0
2024-12-23,No article,0.0,1.0,0.0
2024-12-24,No article,0.0,1.0,0.0
2024-12-25,No article,0.0,1.0,0.0
2024-12-26,No article,0.0,1.0,0.0
2024-12-27,No article,0.0,1.0,0.0
2024-12-28,No article,0.0,1.0,0.0
2024-12-29,No article,0.0,1.0,0.0
2024-12-30,No article,0.0,1.0,0.0
2024-12-31,No article,0.0,1.0,0.0
2025-01-01,No article,0.0,1.0,0.0
2025-01-02,No article,0.0,1.0,0.0
2025-01-03,No article,0.0,1.0,0.0
2025-01-04,No article,0.0,1.0,0.0
2025-01-05,No article,0.0,1.0,0.0
2025-01-06,No article,0.0,1.0,0.0
2025-01-07,No article,0.0,1.0,0.0
2025-01-08,No article,0.0,1.0,0.0
2025-01-09,No article,0.0,1.0,0.0
2025-01-10,No article,0.0,1.0,0.0
2025-01-11,No article,0.0,1.0,0.0
2025-01-12,No article,0.0,1.0,0.0
2025-01-13,No article,0.0,1.0,0.0
2025-01-14,No article,0.0,1.0,0.0
2025-01-15,No article,0.0,1.0,0.0
2025-01-16,No article,0.0,1.0,0.0
2025-01-17,No article,0.0,1.0,0.0
2025-01-18,No article,0.0,1.0,0.0
2025-01-19,No article,0.0,1.0,0.0
2025-01-20,No article,0.0,1.0,0.0
2025-01-21,No article,0.0,1.0,0.0
2025-01-22,No article,0.0,1.0,0.0
2025-01-23,No article,0.0,1.0,0.0
2025-01-24,No article,0.0,1.0,0.0
2025-01-25,No article,0.0,1.0,0.0
2025-01-26,No article,0.0,1.0,0.0
2025-01-27,No article,0.0,1.0,0.0
2025-01-28,No article,0.0,1.0,0.0
2025-01-29,No article,0.0,1.0,0.0
2025-01-30,No article,0.0,1.0,0.0
2025-01-31,No article,0.0,1.0,0.0
2025-02-01,No article,0.0,1.0,0.0
2025-02-02,No article,0.0,1.0,0.0
2025-02-03,No article,0.0,1.0,0.0
